point_id,latitude,longitude,depth_ft
00000,40.0915144,-86.0736120,1.15
00001,40.0915050,-86.0724390,1.68
00002,40.0924059,-86.0724268,2.06
00003,40.0896845,-86.0701177,7.44
00004,40.0905854,-86.0701054,6.15
00005,40.0914862,-86.0700932,5.25
00006,40.0896751,-86.0689448,7.97
00007,40.0905759,-86.0689325,7.68
00008,40.0914768,-86.0689203,2.52
00009,40.0878640,-86.0677965,5.17
00010,40.0896657,-86.0677719,9.37
00011,40.0905665,-86.0677596,8.78
00012,40.0914673,-86.0677473,6.83
00013,40.0923682,-86.0677350,2.42
00014,40.0878545,-86.0666236,10.99
00015,40.0887554,-86.0666113,8.83
00016,40.0896562,-86.0665990,10.86
00017,40.0905571,-86.0665867,10.07
00018,40.0860434,-86.0654754,4.25
00019,40.0869442,-86.0654631,13.93
00020,40.0878451,-86.0654508,12.98
00021,40.0887459,-86.0654384,12.68
00022,40.0896468,-86.0654261,11.77
00023,40.0905476,-86.0654138,8.78
00024,40.0824305,-86.0643519,12.86
00025,40.0833314,-86.0643396,18.91
00026,40.0842322,-86.0643272,17.77
00027,40.0851331,-86.0643149,17.55
00028,40.0860339,-86.0643026,16.50
00029,40.0869347,-86.0642902,13.90
00030,40.0878356,-86.0642779,13.36
00031,40.0815202,-86.0631915,19.37
00032,40.0824210,-86.0631791,21.32
00033,40.0833219,-86.0631668,19.04
00034,40.0842227,-86.0631544,17.46
00035,40.0851236,-86.0631421,16.62
00036,40.0779073,-86.0620682,3.85
00037,40.0815107,-86.0620187,21.64
00038,40.0824115,-86.0620064,20.03
00039,40.0787987,-86.0608831,21.35
00040,40.0796995,-86.0608707,8.09
00041,40.0806003,-86.0608584,14.14
00042,40.0815012,-86.0608460,22.24
00043,40.0769874,-86.0597352,26.96
00044,40.0778883,-86.0597228,27.30
00045,40.0787891,-86.0597104,26.04
00046,40.0796900,-86.0596980,25.45
00047,40.0805908,-86.0596856,25.42
00048,40.0814917,-86.0596732,20.96
00049,40.0760771,-86.0585749,6.31
00050,40.0769779,-86.0585625,30.15
00051,40.0778788,-86.0585501,27.92
00052,40.0787796,-86.0585377,25.79
00053,40.0733650,-86.0574395,2.56
00054,40.0751667,-86.0574147,6.53
00055,40.0760675,-86.0574023,28.65
00056,40.0769684,-86.0573899,31.22
00057,40.0778692,-86.0573774,28.20
00058,40.0742563,-86.0562545,22.83
00059,40.0751571,-86.0562421,30.27
00060,40.0760580,-86.0562296,32.15
00061,40.0769588,-86.0562172,31.47
00062,40.0778597,-86.0562047,28.35
00063,40.0742467,-86.0550819,16.22
00064,40.0751476,-86.0550694,34.93
00065,40.0760484,-86.0550570,33.89
00066,40.0751380,-86.0538968,39.80
00067,40.0760389,-86.0538843,36.44
00068,40.0742276,-86.0527366,40.55
00069,40.0751284,-86.0527241,35.44
00070,40.0760293,-86.0527117,34.40
00071,40.0769301,-86.0526992,37.20
00072,40.0733171,-86.0515765,5.91
00073,40.0742180,-86.0515640,40.43
00074,40.0751188,-86.0515515,36.48
00075,40.0760197,-86.0515390,33.85
00076,40.0769205,-86.0515265,39.42
00077,40.0778214,-86.0515140,35.56
00078,40.0787222,-86.0515015,5.44
00079,40.0733075,-86.0504039,34.45
00080,40.0742084,-86.0503914,36.83
00081,40.0751092,-86.0503789,36.01
00082,40.0760101,-86.0503664,33.86
00083,40.0769109,-86.0503538,40.35
00084,40.0778118,-86.0503413,34.49
00085,40.0787126,-86.0503288,32.76
00086,40.0805143,-86.0503038,8.87
00087,40.0732979,-86.0492313,34.76
00088,40.0741988,-86.0492188,36.48
00089,40.0750996,-86.0492062,36.75
00090,40.0760005,-86.0491937,35.64
00091,40.0769013,-86.0491812,40.28
00092,40.0778021,-86.0491686,35.03
00093,40.0787030,-86.0491561,32.42
00094,40.0814055,-86.0491185,9.22
00095,40.0841080,-86.0490809,8.45
00096,40.0850089,-86.0490684,24.72
00097,40.0732883,-86.0480587,25.26
00098,40.0741891,-86.0480461,36.65
